month,created_pull_requests,closed_pull_requests,domain: deps,domain: external docs,domain: rfc,platform: macos,domain: releasing,source: internal_logs,domain: sinks,domain: sources,domain: core,domain: transforms,meta: breaking change,domain: observability,needs: docs,source: splunk_hec,sink: new_relic_logs,type: feature,type: bug,sink: nats,javascript,domain: vrl,type: tech debt,domain: ci,needs: approval,sink: new,source: gcp_pubsub,domain: topology,domain: tests,type: enhancement,provider: aws,domain: performance,domain: data model,meta: blocked,domain: metrics,provider: datadog,sink: clickhouse,sink: influxdb_metrics,domain: codecs,sink: socket,domain: cli,domain: config,platform: helm,dependencies,domain: vdev,sink: datadog_events,sink: kafka,website: css,source: statsd,domain: security,sink: sematext_metrics,source: host_metrics,domain: dev,source: aws_sqs,source: vector,source: fluent,source: aws_ecs_metrics,source: http_server,sink: aws_kinesis_streams,sink: aws_cloudwatch_metrics,type: task,sink: datadog_metrics,source: redis,domain: api,source: kafka,transform: lua,source: prometheus_scrape,sink: aws_cloudwatch_logs,sink: prometheus_exporter,source: socket,source: heroku_logs,sink: influxdb_logs,source: datadog_agent,domain: logs,transform: sample,domain: networking,platform: rpm,sink: gcp_pubsub,source: internal_metrics,source: new,domain: internal docs,source: journald,transform: filter,sink: aws_s3,source: file_descriptor,domain: buffers,sink: datadog_logs,needs: tests,source: kubernetes_logs,platform: docker,sink: vector,sink: datadog_traces,source: nats,transform: remap,provider: humio,work in progress,domain: templating,source: nginx_metrics,sink: statsd,transform: route,transform: aws_ec2_metadata,source: prometheus_remote_write,sink: http,domain: platforms,sink: aws_kinesis_firehose,sink: loki,meta: regression,transform: log_to_metric,sink: splunk_hec,provider: new relic,sink: file,sink: opentelemetry,domain: startup,website: releases,source: file,sink: postgres,platform: x86_64,sink: papertrail,platform: debian,source: docker_logs,provider: elastic,source: aws_kinesis_firehose,sink: elasticsearch,platform: kubernetes,domain: architecture,source: syslog,domain: unit tests,source: websocket,sink: aws_sqs,transform: reduce,sink: pulsar,platform: centos,platform: ubuntu,meta: idea,vrl: playground,platform: windows,sink: appsignal,provider: influxdata,source: mongodb_metrics,domain: parsing,source: logstash,sink: gcp_cloud_storage,editorial review,sink: prometheus_remote_write,sink: gcp_chronicle,domain: schemas,platform: freebsd,source: aws_s3,rust,domain: setup,sink: humio_logs,domain: delivery,sink: honeycomb,sink: blackhole,domain: shutdown,source: postgresql_metrics,domain: reload,domain: auth,hacktoberfest,sink: amqp,provider: gcp,sink: azure_blob,domain: administration,sink: azure_monitor_logs,domain: website,sink: new_relic,domain: traces,source: exec,source: opentelemetry,ruby,sink: databend,domain: filtering,sink: datadog_archives,provider: splunk,source: apache_metrics,sink: console,domain: compression,source: dnstap,sink: gcp_stackdriver_logs,do not merge,website: highlights,source: http_client,have: must,platform: arm,under_review,vrl: typedef,vrl: stdlib,provider: sematext,provider: honeycomb,source: mqtt,platform: arm64,website: blog,transform: metric_to_log,domain: enterprise,source: stdin,website:aesthetics-only,domain: processing,provider: azure,source: datadog_logs,domain: enriching,source: eventstoredb_metrics,domain: memory,codex,complexity: simple,provider: heroku,domain: healthchecks,domain: soak tests,type: help,platform: dpkg,sink: axiom,sink: greptimedb,source: okta,sink: gcp_stackdriver_metrics,domain: reliability,sink: websocket,github_actions,website: javascript,gira,platform: homebrew,transform: tag_cardinality_limit,domain: ARC,domain: opentelemetry,sink: sematext_logs,source: amqp,domain: enrichment_tables,transform: throttle,sink: redis,source: demo_logs,have: should,sink: humio_metrics,transform: dedupe,sink: mqtt,website: template,platform: nix
2018-11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03,42,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05,46,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06,54,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,73,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08,65,60,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09,56,62,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10,77,70,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11,96,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12,77,80,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01,102,97,0,0,0,0,0,0,0,2,0,3,3,2,6,2,0,5,2,0,0,0,1,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02,177,169,0,0,0,0,0,0,11,4,0,7,3,1,4,2,0,8,6,0,0,0,12,0,1,0,0,0,2,7,0,1,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,2,2,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03,171,166,0,0,0,0,0,0,9,2,0,17,1,5,6,2,0,13,10,0,0,0,7,0,0,0,0,0,5,22,0,4,1,0,1,0,2,2,0,2,0,4,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,2,0,0,0,0,0,0,0,1,2,15,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04,206,207,0,0,0,0,0,0,3,4,0,7,0,2,3,4,0,6,16,0,0,0,3,1,1,0,0,10,9,25,6,8,5,0,3,0,0,0,0,2,2,6,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,2,0,0,0,4,5,0,0,5,1,0,0,2,2,0,0,0,2,0,0,0,0,3,2,0,0,0,0,2,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05,133,123,0,0,0,0,0,0,6,3,0,0,1,2,0,0,1,2,17,0,0,0,4,0,0,0,0,10,10,11,2,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06,175,170,1,0,0,0,0,0,10,0,0,1,0,0,0,6,1,3,24,0,0,0,26,0,0,0,0,4,16,25,11,0,2,0,1,0,0,4,0,1,1,3,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,2,4,4,4,0,0,0,4,2,0,11,0,1,0,0,0,1,0,6,0,0,0,0,0,2,4,6,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,4,4,0,2,0,0,2,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,5,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07,268,255,55,0,0,0,1,0,11,3,0,4,2,6,0,1,0,6,22,0,0,0,30,4,0,0,0,6,14,18,6,1,0,3,0,0,2,0,0,4,4,2,0,0,0,0,6,0,1,7,0,0,0,0,2,0,0,2,6,4,4,0,0,0,10,0,0,4,0,7,0,0,0,0,0,4,0,2,0,0,0,6,0,8,0,0,3,0,0,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08,272,262,25,8,0,0,1,0,3,0,0,2,0,54,2,5,0,2,14,0,0,0,38,12,10,0,0,2,20,65,0,8,5,2,12,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,5,2,7,1,1,0,0,4,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,0,2,0,0,4,0,0,0,9,0,1,5,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-09,296,282,21,5,0,0,0,0,8,2,0,2,0,16,1,0,0,21,27,0,0,18,22,40,0,0,0,4,36,18,1,6,7,1,16,0,0,3,0,2,0,6,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,9,15,1,0,0,2,2,0,0,0,2,4,1,0,3,0,0,0,22,0,0,0,0,0,2,0,0,3,2,2,4,2,2,2,0,0,0,0,0,0,0,1,4,7,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,6,1,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-10,440,473,45,147,0,0,0,0,11,4,0,4,3,30,1,2,0,21,26,0,0,17,17,66,0,0,0,1,13,36,10,9,12,0,14,0,1,3,0,2,9,11,0,0,0,0,0,0,4,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,0,9,4,0,0,0,2,6,2,0,0,0,0,1,0,2,2,0,0,9,0,0,2,0,5,2,0,0,4,1,0,0,1,4,0,0,0,0,2,0,9,0,0,2,8,0,0,0,0,3,2,4,0,0,2,8,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11,355,358,42,16,0,2,0,0,8,3,0,6,1,30,0,0,0,11,22,0,0,47,23,31,0,0,0,5,16,61,4,2,1,0,9,0,1,4,0,0,5,9,0,0,0,0,6,0,0,4,0,3,0,0,0,0,0,3,2,2,6,0,0,3,0,0,0,0,0,1,0,4,0,0,2,3,2,2,2,0,0,2,0,4,0,0,0,0,1,6,0,0,0,3,0,0,0,0,2,0,0,0,3,2,2,2,1,2,0,0,2,0,0,0,5,0,0,0,2,0,1,0,3,3,1,0,0,0,3,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
